"","CountryName","Year","SL.EMP.WORK.ZS","empl.score"
"1","Algeria",2014,70.9,62
"2","Austria",2014,86.7,29
"3","Belgium",2014,85.4,34
"4","Bulgaria",2014,87.5,26
"5","Canada",2014,91.2,12
"6","Croatia",2014,84.4,39
"7","Cyprus",2014,82.1,45
"8","Czech Republic",2014,82,46
"9","Denmark",2014,91.1,13
"10","Estonia",2014,90.9,15
"11","Finland",2014,86,31
"12","France",2014,88.5,22
"13","Germany",2014,89,20
"14","Greece",2014,64,75
"15","Hungary",2014,88.7,21
"16","Iceland",2014,87.1,28
"17","Iran, Islamic Rep.",2014,55.9,84
"18","Ireland",2014,82.7,43
"19","Italy",2014,75.3,54
"20","Latvia",2014,88.4,23
"21","Lithuania",2014,87.9,25
"22","Luxembourg",2014,91.1,13
"23","Macedonia, FYR",2014,73.3,58
"24","Malaysia",2014,75.1,55
"25","Malta",2014,86.2,30
"26","Moldova",2014,67.3,69
"27","Netherlands",2014,83.3,41
"28","Norway",2014,92.8,9
"29","Panama",2014,67.3,69
"30","Paraguay",2014,55.6,85
"31","Poland",2014,78.6,50
"32","Portugal",2014,80.3,48
"33","Romania",2014,67.9,67
"34","Slovak Republic",2014,84.6,38
"35","Slovenia",2014,81.4,47
"36","South Africa",2014,85.9,32
"37","Spain",2014,82.4,44
"38","Sweden",2014,89.7,17
"39","Switzerland",2014,84.9,36
"40","Turkey",2014,66.1,71
"41","Ukraine",2014,84.1,40
"42","United Kingdom",2014,84.4,39
"43","Albania",2013,40.2,99
"44","Argentina",2013,75.3,54
"45","Armenia",2013,57.2,82
"46","Australia",2013,89.6,18
"47","Azerbaijan",2013,33.5,106
"48","Barbados",2013,83.2,42
"49","Bosnia and Herzegovina",2013,74.6,56
"50","Brazil",2013,68.7,64
"51","Cayman Islands",2013,91.5,11
"52","China",2013,87.9,25
"53","Colombia",2013,47.4,92
"54","Costa Rica",2013,75.5,53
"55","Dominican Republic",2013,54.5,86
"56","Ecuador",2013,56.8,83
"57","Egypt, Arab Rep.",2013,61.1,78
"58","El Salvador",2013,53.5,88
"59","Ethiopia",2013,10,122
"60","Georgia",2013,38.4,101
"61","Guatemala",2013,44.5,94
"62","Hong Kong SAR, China",2013,89.9,16
"63","Indonesia",2013,36.5,102
"64","Israel",2013,87.4,27
"65","Japan",2013,88,24
"66","Kazakhstan",2013,69.4,63
"67","Kenya",2013,96.4,4
"68","Korea, Rep.",2013,72.6,59
"69","Kyrgyz Republic",2013,52.7,89
"70","Macao SAR, China",2013,93.2,8
"71","Mexico",2013,67,70
"72","Namibia",2013,63.6,76
"73","New Zealand",2013,84.7,37
"74","Philippines",2013,58.2,80
"75","Qatar",2013,99.3,1
"76","Russian Federation",2013,92.7,10
"77","Saudi Arabia",2013,94.6,6
"78","Serbia",2013,67.6,68
"79","Singapore",2013,85.1,35
"80","Sri Lanka",2013,53.8,87
"81","Suriname",2013,2.9,126
"82","Tanzania",2013,16.2,119
"83","Thailand",2013,41.4,97
"84","Trinidad and Tobago",2013,77.9,51
"85","Tunisia",2013,72,61
"86","Uganda",2013,19.6,114
"87","United States",2013,93.4,7
"88","Uruguay",2013,72.4,60
"89","Venezuela, RB",2013,59.2,79
"90","Vietnam",2013,34.8,104
"91","Bermuda",2012,82.4,44
"92","Bhutan",2012,27.5,109
"93","Cambodia",2012,35.8,103
"94","Cote d'Ivoire",2012,18.1,117
"95","Gambia, The",2012,23.5,110
"96","Guinea",2012,4.1,125
"97","Jamaica",2012,59.2,79
"98","Jordan",2012,84.1,40
"99","Kosovo",2012,74.5,57
"100","Madagascar",2012,11.2,121
"101","Mauritius",2012,79.4,49
"102","Mongolia",2012,47.5,91
"103","Montenegro",2012,82.4,44
"104","Morocco",2012,43.7,96
"105","Peru",2012,48.2,90
"106","Puerto Rico",2012,84.4,39
"107","Rwanda",2012,17.8,118
"108","Samoa",2012,64.1,74
"109","Zambia",2012,20.4,112
"110","Zimbabwe",2012,34,105
"111","Bahamas, The",2011,85.4,34
"112","Bangladesh",2011,29.4,107
"113","Bolivia",2011,39.5,100
"114","Chile",2011,68.5,65
"115","Cuba",2011,77.3,52
"116","Kuwait",2011,96.8,3
"117","Senegal",2011,22.3,111
"118","Seychelles",2011,85.8,33
"119","Syrian Arab Republic",2011,62.6,77
"120","American Samoa",2010,96.9,2
"121","Aruba",2010,89.3,19
"122","Bahrain",2010,96.8,3
"123","Benin",2010,8.1,123
"124","Botswana",2010,68.2,66
"125","Burundi",2010,5.9,124
"126","Cameroon",2010,20.3,113
"127","Gabon",2010,65.4,73
"128","Ghana",2010,18.2,116
"129","Honduras",2010,44.3,95
"130","India",2010,18.1,117
"131","Kiribati",2010,40.5,98
"132","Lao PDR",2010,15.6,120
"133","Liberia",2010,18.1,117
"134","Maldives",2010,65.4,73
"135","Middle income",2010,57.84049,81
"136","Nicaragua",2010,46,93
"137","Oman",2010,96.3,5
"138","San Marino",2010,91,14
"139","South Asia",2010,18.23101,115
"140","Timor-Leste",2010,28.3,108
"141","Yemen, Rep.",2010,65.9,72
