"","CountryName","CountryCode","Year","EG.ELC.ACCS.ZS","EG.FEC.RNEW.ZS","EG.USE.COMM.FO.ZS"
"1","Afghanistan","AFG",2010,41,15.17152,NA
"2","Afghanistan","AFG",2011,NA,10.80752,NA
"3","Afghanistan","AFG",2012,43,NA,NA
"4","Albania","ALB",2010,100,37.18621,63.00601
"5","Albania","ALB",2011,NA,36.15232,61.76575
"6","Albania","ALB",2012,100,38.22183,59.37131
"7","Algeria","DZA",2010,99.3,0.257182,99.84794
"8","Algeria","DZA",2011,NA,0.1799392,99.88757
"9","Algeria","DZA",2012,100,0.1903738,99.86002
"10","American Samoa","ASM",2010,55.8,NA,NA
"11","American Samoa","ASM",2012,59.32891,NA,NA
"12","Andorra","ADO",2010,100,NA,NA
"13","Andorra","ADO",2012,100,NA,NA
"14","Angola","AGO",2010,34.6,57.27504,39.62311
"15","Angola","AGO",2011,NA,57.70308,38.77622
"16","Angola","AGO",2012,37,57.17527,38.90476
"17","Antigua and Barbuda","ATG",2010,87.87328,NA,NA
"18","Antigua and Barbuda","ATG",2012,90.87544,NA,NA
"19","Argentina","ARG",2010,94,8.96067,89.51248
"20","Argentina","ARG",2011,NA,8.951076,89.64297
"21","Argentina","ARG",2012,99.8,8.772578,89.80423
"22","Armenia","ARM",2010,99.8,9.363417,67.39918
"23","Armenia","ARM",2011,NA,8.019003,71.54126
"24","Armenia","ARM",2012,100,6.567873,77.33169
"25","Aruba","ABW",2010,87.87328,5.47276,NA
"26","Aruba","ABW",2011,NA,5.662064,NA
"27","Aruba","ABW",2012,90.87544,NA,NA
"28","Australia","AUS",2010,100,7.159708,95.07248
"29","Australia","AUS",2011,NA,7.477579,94.84615
"30","Australia","AUS",2012,100,8.442666,94.39264
"31","Australia","AUS",2013,NA,NA,93.83341
"32","Austria","AUT",2010,100,31.39805,70.10766
"33","Austria","AUT",2011,NA,31.45928,69.03102
"34","Austria","AUT",2012,100,34.4506,66.65679
"35","Austria","AUT",2013,NA,NA,65.95933
"36","Azerbaijan","AZE",2010,99.5,4.449734,96.93249
"37","Azerbaijan","AZE",2011,NA,3.556331,97.86257
"38","Azerbaijan","AZE",2012,100,2.845522,98.4767
"39","Bahamas, The","BHS",2010,100,1.588608,NA
"40","Bahamas, The","BHS",2011,NA,1.608499,NA
"41","Bahamas, The","BHS",2012,100,NA,NA
"42","Bahrain","BHR",2010,94.1,NA,99.88049
"43","Bahrain","BHR",2011,NA,NA,99.91728
"44","Bahrain","BHR",2012,97.69783,NA,NA
"45","Bangladesh","BGD",2010,55.2,41.02691,71.39898
"46","Bangladesh","BGD",2011,NA,39.55374,72.04491
"47","Bangladesh","BGD",2012,59.6,38.29972,72.99875
"48","Barbados","BRB",2010,87.87328,8.814996,NA
"49","Barbados","BRB",2011,NA,9.47727,NA
"50","Barbados","BRB",2012,90.87544,NA,NA
"51","Belarus","BLR",2010,100,7.016371,91.98836
"52","Belarus","BLR",2011,NA,7.378485,91.39247
"53","Belarus","BLR",2012,100,7.249394,91.04727
"54","Belgium","BEL",2010,100,5.18756,73.70715
"55","Belgium","BEL",2011,NA,5.461707,68.86228
"56","Belgium","BEL",2012,100,7.384542,69.12937
"57","Belgium","BEL",2013,NA,NA,68.96786
"58","Belize","BLZ",2010,99.3,26.93441,NA
"59","Belize","BLZ",2011,NA,26.8003,NA
"60","Belize","BLZ",2012,100,NA,NA
"61","Benin","BEN",2010,27.9,51.54937,41.55419
"62","Benin","BEN",2011,NA,51.19204,41.80981
"63","Benin","BEN",2012,38.4,50.56738,42.37071
"64","Bermuda","BMU",2010,100,NA,NA
"65","Bermuda","BMU",2012,100,NA,NA
"66","Bhutan","BTN",2010,72,91.3845,NA
"67","Bhutan","BTN",2011,NA,89.96231,NA
"68","Bhutan","BTN",2012,75.56256,NA,NA
"69","Bolivia","BOL",2010,80.2,33.53833,71.64524
